Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
958,-858993460,98354.9,250507,959,-858993460,98354.9,250507,
960,-858993460,185749,1.05848e+06,961,-858993460,185749,1.05848e+06,
962,-858993460,172482,900349,963,477656400,172482,900349,
964,406,173347,910275,965,-858993460,173347,910275,
966,-858993460,58263,64168,967,-858993460,58263,64168,
968,-858993460,46437.4,31344.6,969,-858993460,46437.4,31344.6,
970,-858993460,99508.6,257585,971,3,99508.6,257585,
972,4,105854,298232,973,3,105854,298232,
974,0,136139,532232,975,-445310259,136139,532232,
976,-1065692856,148542,647152,977,0,148542,647152,
978,0,146234,624932,979,0,146234,624932,
980,0,47302.6,33404.4,981,-858993460,47302.6,33404.4,
982,-858993460,14133.1,-6911.11,983,-858993460,14133.1,-6911.11,
984,-858993460,109604,323615,985,-858993460,109604,323615,
986,-858993460,153157,692745,987,944761736,153157,692745,
988,6,78741.6,144864,989,-858993460,78741.6,144864,
990,-858993460,165848,826046,991,-858993460,165848,826046,
992,-858993460,10960.4,-6609.37,993,-858993460,10960.4,-6609.37,
994,-858993460,183730,1.0336e+06,995,477663072,183730,1.0336e+06,
996,406,92874.7,218196,997,-858993460,92874.7,218196,
998,-858993460,207959,1.35158e+06,999,-858993460,207959,1.35158e+06,
