Pre-Weight Change,,,,Post-Weight Change
Input Number,Real,Predicted,Error,Input Number,Real,Predicted,Error
429,623827,153445,695646,430,777262,153445,695646,
431,96142,45572.1,29338.9,432,1156942,45572.1,29338.9,
433,22,61724.2,75682.8,434,1432462,61724.2,75682.8,
435,338707,81049,155853,436,954307,81049,155853,
437,1275331,110181,327610,438,950926,110181,327610,
439,988447,192672,1.14602e+06,440,94,192672,1.14602e+06,
441,96142,186903,1.07283e+06,442,3091,186903,1.07283e+06,
443,186022,66915.9,94575.1,444,1436611,66915.9,94575.1,
445,94,111046,333648,446,24862,111046,333648,
447,1228819,2884.31,-2565.31,448,1326694,2884.31,-2565.31,
449,881311,83356.5,167226,450,461011,83356.5,167226,
451,17347,124602,435289,452,210694,124602,435289,
453,552142,142773,592321,454,290182,142773,592321,
455,618367,38361.3,14724.7,456,301486,38361.3,14724.7,
457,738067,79030,146217,458,1102,79030,146217,
459,1550902,92009.4,213293,460,240286,92009.4,213293,
461,1062094,13556.2,-6910.25,462,659902,13556.2,-6910.25,
463,1294966,12691,-6863.95,464,1054966,12691,-6863.95,
465,1002271,47591.1,34102.9,466,8446,47591.1,34102.9,
467,440086,98643.3,252268,468,449326,98643.3,252268,
469,1350742,90278.8,203647,470,55507,90278.8,203647,
471,196627,142773,592321,472,247126,142773,592321,
473,166,206228,1.32747e+06,474,209107,206228,1.32747e+06,
475,998806,147965,641561,476,406291,147965,641561,
477,820606,114795,360436,478,161491,114795,360436,
479,1306819,192672,1.14602e+06,480,348862,192672,1.14602e+06,
481,1244227,149696,658406,482,1072831,149696,658406,
483,1083622,212573,1.41695e+06,484,122431,212573,1.41695e+06,
485,77782,9229.78,-6138.78,486,357094,9229.78,-6138.78,
487,404086,96912.7,241794,488,668371,96912.7,241794,
489,795694,38649.7,15237.3,490,771166,38649.7,15237.3,
491,80707,120852,405850,492,7222,120852,405850,
493,433219,78741.6,144864,494,845902,78741.6,144864,
495,223606,74415.1,125296,496,991894,74415.1,125296,
497,4351,163540,800946,498,1217326,163540,800946,
499,311071,84221.8,171589,500,1559542,84221.8,171589,
501,-858993460,201902,1.26812e+06,502,-858993460,201902,1.26812e+06,
503,-858993460,80183.8,151687,504,-858993460,80183.8,151687,
505,-858993460,76434.2,134260,506,-858993460,76434.2,134260,
507,7,187768,1.08365e+06,508,0,187768,1.08365e+06,
509,-858993460,160944,773167,510,-858993460,160944,773167,
511,-858993460,188922,1.09817e+06,512,-858993460,188922,1.09817e+06,
513,-858993460,187480,1.08004e+06,514,500,187480,1.08004e+06,
515,-858993460,80183.8,151687,516,-858993460,80183.8,151687,
517,-858993460,186903,1.07283e+06,518,-858993460,186903,1.07283e+06,
519,-858993460,193825,1.16095e+06,520,-858993460,193825,1.16095e+06,
521,-858993460,68935,102447,522,-858993460,68935,102447,
523,0,73838.3,122789,524,0,73838.3,122789,
525,741421568,67204.4,95681.6,526,959788337,67204.4,95681.6,
527,3290165,159791,760976,528,-858993460,159791,760976,
529,0,58551.4,65094.6,530,0,58551.4,65094.6,
531,15,77011,136875,532,0,77011,136875,
533,-858993460,184596,1.04422e+06,534,-858993460,184596,1.04422e+06,
535,-858993460,42687.8,23043.2,536,-858993460,42687.8,23043.2,
537,-858993460,71819.3,114203,538,-858993460,71819.3,114203,
539,-858993460,56244,57850,540,-858993460,56244,57850,
541,-858993460,159791,760976,542,-858993460,159791,760976,
543,-858993460,85952.4,180479,544,-858993460,85952.4,180479,
545,-858993460,8364.49,-5822.49,546,-858993460,8364.49,-5822.49,
547,-858993460,49898.5,39907.5,548,-858993460,49898.5,39907.5,
549,-858993460,148253,644354,550,-858993460,148253,644354,
551,-858993460,129217,472914,552,-858993460,129217,472914,
553,-858993460,7787.63,-5581.63,554,-858993460,7787.63,-5581.63,
555,1202590843,96912.7,241794,556,1065646817,96912.7,241794,
557,-858993460,58839.9,66027.1,558,-858993460,58839.9,66027.1,
559,-858993460,179692,984714,560,-858993460,179692,984714,
561,-858993460,72396.1,116626,562,562,72396.1,116626,
563,-858993460,193249,1.15347e+06,564,-858993460,193249,1.15347e+06,
